id,feat1,feat2,feat7,feat8,feat9,feat10,feat11,feat13,feat14,feat15,feat17,feat18,feat19,feat20,price
1,0.675802139,0,0.838709677,0.333333333,0.45,0.285714286,0.1,0.893787575,0.831016043,0.142857143,0.5,1,0,1,3
2,0.075534759,0,0.35483871,0.111111111,0.116666667,0.428571429,0.35,0.068804275,0.447058824,0.571428571,0.111111111,1,0,1,1
3,0.034759358,0,0.338709677,0.444444444,0.325,0.285714286,0.15,0.679358717,0.728074866,0.142857143,0.666666667,1,0,0,2
4,0.145053476,0,0.306451613,0.777777778,0.066666667,0,0.35,0.220440882,0.4,0.857142857,0.388888889,1,0,1,1
5,0.444518717,0,0.661290323,0.777777778,0,0.428571429,0.05,0.068804275,0.998663102,0.142857143,0.277777778,1,1,0,3
6,0.612299465,1,0.870967742,0.888888889,0.283333333,0.714285714,0.2,0.76753507,0.088770053,0.428571429,0.222222222,1,0,1,0
7,0.800802139,1,0.306451613,0,0.633333333,0.428571429,1,0.400133601,0.246791444,0.785714286,0.888888889,1,1,0,1
8,0.182486631,1,0.096774194,0.333333333,0.466666667,0,0.2,0.911823647,0.629946524,0.142857143,0.666666667,1,1,1,2
9,0.53342246,1,1,0.444444444,0.025,0.714285714,0.3,0.27254509,0.449197861,1,0.166666667,1,0,1,1
10,0.637032086,1,0.306451613,0.111111111,0.666666667,0.428571429,0.5,0.400801603,0.123262032,0.642857143,0.444444444,1,1,1,0
11,0.269385027,0,0.532258065,0.333333333,0.733333333,0.285714286,0.2,0.004676019,0.294652406,0.714285714,0.5,1,0,0,0
12,0.351604278,0,1,0.888888889,0.191666667,0.142857143,0.35,0.832999332,0.943315508,0.857142857,0.555555556,1,0,0,3
13,0.77540107,1,0.435483871,0.222222222,0.325,0.142857143,0,0.241148965,0.089037433,0.285714286,0.388888889,1,1,1,0
14,0.923796791,1,0.451612903,0.444444444,0.125,0.142857143,0.5,0.194388778,0.926737968,0.785714286,1,1,1,1,3
15,0.486631016,0,0.193548387,0.777777778,0.925,0.142857143,0.8,0.920507682,0.376737968,0.857142857,0.833333333,0,0,1,1
16,0.130347594,0,0.790322581,0.222222222,0.975,0.285714286,0.4,0.271877088,0.634224599,0.928571429,0.388888889,0,0,1,1
17,0.586898396,1,0.983870968,1,0.025,0,0.85,0.581162325,0.105080214,0.285714286,0.277777778,1,1,0,0
18,0.822192513,1,0.935483871,0.444444444,0.758333333,0.428571429,1,0.36005344,0.257219251,0.285714286,1,0,1,0,1
19,0.124331551,1,0.774193548,0.555555556,0.591666667,0.428571429,1,0.434869739,0.844385027,0.642857143,0.333333333,1,1,0,3
20,0.905080214,0,0.483870968,0.555555556,0.891666667,1,0.9,0.441549766,0.982620321,0.142857143,0.277777778,1,0,1,3
21,0.797459893,0,0.822580645,1,0.883333333,0.714285714,0,0.472945892,0.372994652,0.142857143,0.222222222,1,0,0,2
22,0.579545455,0,0.64516129,0.111111111,0.091666667,0,1,0.283901136,0.356149733,0.5,0.666666667,1,0,0,1
23,0.444518717,0,0.370967742,0.777777778,0.983333333,0.571428571,0.2,0.469605878,0.596256684,0.571428571,0.722222222,1,0,0,2
24,0.63302139,0,0.387096774,1,0.633333333,0.285714286,0.8,0.901803607,0.245187166,0.5,0.222222222,0,1,0,1
25,0.472593583,0,0.225806452,1,0.791666667,0,0.95,0.352705411,0.519518717,0.857142857,0.555555556,1,0,0,1
26,0.34157754,0,0.596774194,0,0.675,0.428571429,0.3,0.464261857,0.680213904,0.214285714,0.444444444,1,1,0,2
